Question,A,B,C,D,Answer,Qtype
"
 Less Than Catalan Number","
 Greater than Catalan Number","
 Reciprocal of Catalan Number","
", Is mathematical randomized tree can be generated using beta distribution., d,DS
 AA Trees are implemented using?,"
 Colors","
 Levels","
 Node size","
 Heaps", b,DS
 Which of the following is the correct definition for a horizontal link?,"
 connection between node and a child of equal levels","
 connection between two nodes","
 connection between two child nodes","
 connection between root node and leaf node", a,DS
 How will you remove a left horizontal link in an AA-tree?,"
 by performing right rotation","
 by performing left rotation","
 by deleting both the elements","
 by inserting a new element", a,DS
 What are the two different operations done in an AA-Tree?,"
 shift and color","
 skew and split","
 zig and zag","
 enqueue and dequeue", b,DS
" In an AA-tree, we process split first, followed by a skew.","
 True","
 False","
", How many different shapes does maintenance of AA-Tree need to consider?, b,DS
"
 5","
 2","
 3","
", What is the prime condition of AA-tree which makes it simpler than a red-black tree?, c,DS
"
 Only left children can be red","
 Right children should strictly be black","
 There should be no left children","
", Which of the following trees is similar to that of an AA-Tree?, a,DS
"
 B+ Tree","
 AVL Tree","
 Red-Black Tree","
", What is the worst case analysis of an AA-Tree?, d,DS
"
 O(log N)","
 O( N log N)","
 O(N",),"
", b,DS
"
 True","
 False","
",1 Who is the inventor of AA-Tree?,"
 Arne Anderson", a,DS
"
 Rudolf Bayer","
 Jon Louis Bentley","
",1 What should be the condition for the level of a left node?,"
 It should be less than or equal to that of its parent", a,DS
"
 It should be strictly less than that of its parent","
 The level should be equal to one","
","1 Of the following rules that are followed by an AA-tree, which of the following is incorrect?","
1- Only right children can be red", c,DS
"
3- Instead of storing colors, the level of a node is stored","
4- There should not be any left children","
 1","
 2","
 3", d,DS
"
",14,"
 In the given figure, find ‘?’.","
 left rotation","
 right rotation", b,DS
"
 deletion","
","1 Comparing the speed of execution of Red-Black trees and AA-trees, which one has the faster search time?","
 AA-tree","
 Red-Black tree", a,DS
 What is an AVL tree?,"
 a tree which is balanced and is a height balanced tree","
 a tree which is unbalanced and is a height balanced tree","
 a tree with three children","
 a tree with atmost 3 children", a,DS
 Why we need to a binary tree which is height balanced?,"
 to avoid formation of skew trees","
 to save memory","
 to attain faster memory access","
 to simplify storing", a,DS
 Which of the below diagram is following AVL tree property?,"
 i.","
ii.","
 only i","
 only i and ii", b,DS
"
 i is not a binary search tree","
", What is the maximum height of an AVL tree with p nodes?,"
 p","
 log(p)", b,DS
"
 ",⁄,"
"," To restore the AVL property after inserting a element, we start at the insertion point and move towards root of that tree. is this statement true?","
 true", a,DS
"
"," Given an empty AVL tree, how would you construct AVL tree when a set of numbers are given without performing any rotations?","
 just build the tree with the given input","
 find the median of the set of elements given, make it as root and construct the tree","
 use trial and error", b,DS
"
", What maximum difference in heights between the leafs of a AVL tree is possible?,"
 log(n) where n is the number of nodes","
 n where n is the number of nodes","
 0 or 1", a,DS
"
", Consider the pseudo code:,   Does the above code can check if a binary search tree is an AVL tree?,"
 yes","
 no", a,DS
" Consider the below left-left rotation pseudo code where the node contains value pointers to left, right child nodes and a height value and Height() function returns height value stored at a particular node.", What is missing?,"
 Height(w-left), x-height","
 Height(w-right), x-height","
 Height(w-left), x", a,DS
"
", Why to prefer red-black trees over AVL trees?,"
 Because red-black is more rigidly balanced","
 AVL tree store balance factor in every node which costs space","
 AVL tree fails at scale", b,DS
 What is a Cartesian tree?,"
 a skip list in the form of tree","
 a tree which obeys cartesian product","
 a tree which obeys heap property and whose inorder traversal yields the given sequence","
 a tree which obeys heap property only", c,DS
" Is the below tree representation of 50,100,400,300,280 correct way to represent cartesian tree?","
","
 true","
 false","
", a,DS
"
i. Cartesian tree is not a height balanced tree","
ii. Cartesian tree of a sequence of unique numbers can be unique generated","
 both statements are true","
 only i. is true","
 only ii. is true", a,DS
"
", What is the speciality of cartesian sorting?,"
 it sorts partially sorted set of data quickly","
 it considers cartesian product of elements","
 it sorts elements in less than O(logn)", a,DS
"
"," Consider a sequence of numbers to have repetitions, how a cartesian tree can be constructed in such situations without violating any rules?","
 use any tie-breaking rule between repeated elements","
 cartesian tree is impossible when repetitions are present","
 construct a max heap in such cases", a,DS
"
", What happens if we apply the below operations on an input sequence?,"
i. construct a cartesian tree for input sequence","
ii. put the root element of above tree in a priority queue","
iii. if( priority queue is not empty) then", b,DS
"
v. add that to output","
vi. add cartesian tree children of above node to priority queue","
 constructs a cartesian tree","
 sorts the input sequence","
 does nothing", c,DS
"
", Cartesian trees are most suitable for?,"
 searching","
 finding nth element","
 minimum range query and lowest common ancestors", a,DS
"
", A treap is a cartesian tree with ___________,"
 additional value, which is a priority value to the key generated randomly","
 additional value, which is a priority value to the key generated sequentially","
 additional heap rule", a,DS
"
", Cartesian trees solve range minimum query problem in constant time.,"
 true","
 false","
", d,DS
 What is a weight balanced tree?,"
 A binary tree that stores the sizes of subtrees in nodes","
 A binary tree with an additional attribute of weight","
 A height balanced binary tree","
 A normal binary tree", a,DS
 What are the applications of weight balanced tree?,"
 dynamic sets, dictionaries, sequences, maps","
 heaps","
 sorting","
 storing strings", a,DS
 A node of the weight balanced tree has,"
 key, left and right pointers, size","
 key, value","
 key, size","
 key", a,DS
 The size value of various nodes in a weight balanced tree are,"
    leaf – zero","
    internal node – size of it’s two children","
    is this true?","
 true", a,DS
"
", What is the condition for a tree to be weight balanced. where a is factor and n is a node?,"
 weight[n.left] >= a*weight[n] and weight[n.right] >= a*weight[n].","
 weight[n.left] >= a*weight[n.right] and weight[n.right] >= a*weight[n].","
 weight[n.left] >= a*weight[n.left] and weight[n.right] >= a*weight[n].", a,DS
"
", What are the operations that can be performed on weight balanced tree?,"
 all basic operations and set intersection, set union and subset test","
 all basic operations","
 set intersection, set union and subset test", a,DS
"
"," Consider a weight balanced tree such that, the number of nodes in the left sub tree is at least half and at most twice the number of nodes in the right sub tree. The maximum possible height (number of nodes on the path from the root to the farthest leaf) of such a tree on k nodes can be described as","
 log2 n","
 log4/3 n","
 log3 n", d,DS
"
"," Why the below pseudo code where x is a value, wt is weight factor and t is root node can’t insert?", when x>t. element Rotate-with-left-child should take place and vice versa,"
 the logic is incorrect","
 the condition for rotating children is wrong", a,DS
"
", What does the below definations convey?,"
   i. A binary tree is balanced if for every node it is gonna hold that the number of inner nodes in the left subtree and the  number of inner nodes in the right subtree differ by at most ","
   ii. A binary tree is balanced if for any two leaves the difference of the depth is at most ","
 weight balanced and height balanced tree definations", a,DS
"
 definations of weight balanced tree","
 definations of height balanced tree","
"," Elements in a tree can be indexed by its position under the ordering of the keys and the ordinal position of an element can be determined, both with good efficiency.","
 true", a,DS
 What is the special property of red-black trees and what root should always be?,"
 a color which is either red or black and root should always be black color only","
 height of the tree","
 pointer to next node","
 a color which is either green or black", a,DS
 Why do we impose restrictions like,"
 . root property is black","
 . every leaf is black","
 . children of red node are black","
 . all leaves have same black", a,DS
"
 to get linear time complexity","
 to get exponential time complexity","
 to get constant time complexity","
", Cosider the below formations of red-black tree., a,DS
"
   All the above formations are incorrect for it to be a redblack tree. then what may be the correct order?","
 50-black root, 18-red left subtree, 100-red right subtree","
 50-red root, 18-red left subtree, 100-red right subtree","
 50-black root, 18-black left subtree, 100-red right subtree","
 50-black root, 18-red left subtree, 100-black right subtree", a,DS
 What are the operations that could be performed in O(logn) time complexity by red-black tree?,"
 insertion, deletion, finding predecessor, successor","
 only insertion","
 only finding predecessor, successor","
 for sorting", c,DS
 Which of the following is an application of Red-black trees and why?,"
 used to store strings efficiently","
 used to store integers efficiently","
 can be used in process schedulers, maps, sets","
 for efficient sorting", a,DS
 When it would be optimal to prefer Red-black trees over AVL trees?,"
 when there are more insertions or deletions","
 when more search is needed","
 when tree must be balanced","
 when log(nodes) time complexity is needed", b,DS
 Why Red-black trees are preferred over hash tables though hash tables have constant time complexity?,"
 no they are not preferred","
 because of resizing issues of hash table and better ordering in redblack trees","
 because they can be implemented using trees","
 because they are balanced", a,DS
 How can you save memory when storing color information in Red-Black tree?,"
 using least significant bit of one of the pointers in the node for color information","
 using another array with colors of each node","
 storing color information in the node structure","
 using negative and positive numbering", a,DS
" When to choose Red-Black tree, AVL tree and B-trees?","
 many inserts, many searches and when managing more items respectively","
 many searches, when managing more items respectively and many inserts respectively","
 sorting, sorting and retrieval respectively","
 retrieval, sorting and retrieval respectively", a,DS
 Which algorithm is used in the top tree data structure?,"
 Divide and Conquer","
 Greedy","
 Backtracking","
 Branch", a,DS
" For how many vertices in a set, is top tree defined for underlying tree?","
 3","
 4","
 5","
 2", d,DS
 How many edges are present in path cluster?,"
 2","
 3","
 6","
 1", a,DS
 How many edges does a leaf cluster contain?,"
 0","
 1","
 2","
 3", a,DS
 How many edges are present in Edge cluster?,"
 0","
 1","
 2","
 4", b,DS
 Which data structure is used to maintain a dynamic forest using a link or cut operation?,"
 Top Tree","
 Array","
 Linked List","
 Stack", a,DS
 If A ꓵ B (A and B are two clusters) is a singleton set then it is a Merge able cluster.,"
 True","
 False","
", Is Top tree used for maintaining Dynamic set of trees called forest., a,DS
"
 False","
", What is the time complexity for the initialization of top tree?,"
 O (n)","
 O (n", a,DS
"
 O (log n)","
 O (n!)","
", How many top trees are there in a tree with single vertex?,"
 0", a,DS
"
 2","
 3","
",1 Which property makes top tree a binary tree?,"
 Nodes as Cluster", a,DS
"
 Root is Tree Itself","
 All of the mentioned","
",1 Which of the dynamic operations are used in Top Tree data structure implementation?,"
 Link", d,DS
"
 Expose","
 All of the mentioned","
",1 Which of the following are used as an internal operation in Top tree?,"
 Merge", d,DS
"
 Expose","
 Link","
",1 What is the time complexity for maintaining a dynamic set of weighted trees?,"
 O (n)", a,DS
 What are splay trees?,"
 self adjusting binary search trees","
 self adjusting binary trees","
 a tree with strings","
 a tree with probability distributions", a,DS
 Which of the following property of splay tree is correct?,"
 it holds probability usage of the respective sub trees","
 any sequence of j operations starting from an empty tree with h nodes atmost, takes O(jlogh) time complexity","
 sequence of operations with h nodes can take O(logh) time complexity","
 splay trees are unstable trees", b,DS
 Why to prefer splay trees?,"
 easier to program","
 space efficiency","
 easier to program and faster access to recently accessed items","
 quick searching", c,DS
 Is it true that splay trees have O(logn) amortized complexity ?,"
 true","
 false","
", What is a splay operation?, a,DS
"
 moving a node to root","
 moving root to leaf","
 removing leaf node","
", Which of the following options is an application of splay trees?, b,DS
"
 networks","
 send values","
 receive values","
"," When we have red-black trees and AVL trees that can perform most of operations in logarithmic times, then what is the need for splay trees?", a,DS
"
 In real time it is estimated that 80% access is only to 20% data, hence most used ones must be easily available","
 redblack and avl are not upto mark","
 they are just another type of self balancing binary search trees","
"," After the insertion operation, is the resultant tree a splay tee?", b,DS
"
 true","
 false","
",  What output does the below pseudo code produces?, right rotation of subtree, a,DS
"
 zig-zag operation","
 zig-zig operation","
", What is the disadvantage of using splay trees?,"
 height of a splay tree can be linear when accessing elements in non decreasing order.", a,DS
 What is the space complexity of a treap algorithm?,"
 O(N)","
 O(log N)","
 O(log N)","
 O(N", a,DS
"
", A treap is a combination of a tree and a heap.,"
 false","
 true","
", b,DS
"
 AVL tree","
 Treap","
 Splay tree","
 Binary heap","
", b,DS
"
 Each node has data and a pointer","
 Each node is colored accordingly","
 It is a binary search tree following heap principles","
 Each node has a fixed priority field","
", d,DS
"
 a node’s priority should be greater than its parent","
 a node’s priority should be at least as large as its parent","
 the priority is randomly assigned and can have any value","
 a node’s priority is always given in decreasing order","
", b,DS
"
 True","
 False","
", What is the average running time of a treap?,"
 O(N)", a,DS
"
 O(log N)","
 O(M log N)","
", Which node has the lowest priority in a treap?,"
 root node", c,DS
"
 null node","
 centre node","
", What is the priority of a null node?,"
 1", a,DS
"
 random number","
 infinity","
", Who invented treaps?,"
 Cecilia and Raimund", d,DS
 What is a threaded binary tree traversal?,"
 a binary tree traversal using stacks","
 a binary tree traversal using queues","
 a binary tree traversal using stacks and queues","
 a binary tree traversal without using stacks and queues", d,DS
 What are the disadvantages of normal binary tree traversals?,"
 there are many pointers which are null and thus useless","
 there is no traversal which is efficient","
 complexity in implementing","
 improper traversals", a,DS
" In general, the node content in a threaded binary tree is ________","
 leftchild_pointer, left_tag, data, right_tag, rightchild_pointer","
 leftchild_pointer, left_tag","
 leftchild_pointer, left_tag, right_tag, rightchild_pointer","
 leftchild_pointer, left_tag, data", a,DS
 What are null nodes filled with in a threaded binary tree?,"
 inorder predecessor for left node and inorder successor for right node information","
 right node with inorder predecessor and left node with inorder successor information","
 they remain null","
 some other values randomly", a,DS
 Which of the following tree traversals work if the null left pointer pointing to the predecessor and null right pointer pointing to the successor in a binary tree?,"
 inorder, postorder, preorder traversals","
 inorder","
 postorder","
 preorder", a,DS
 What are double and single threaded trees?,"
 when both left, right nodes are having null pointers and only right node is null pointer respectively","
 having 2 and 1 node","
 using single and double linked lists","
 using heaps and priority queues", a,DS
 What is wrong with below code for inorder traversal of inorder threaded binary tree:, inordersuccessor instead of inorderpredecessor must be done,"
 code is correct","
 it is code for post order","
 it is code for pre order", a,DS
 What is inefficient with the below threaded binary tree picture?,"
","
 it has dangling pointers","
 nothing inefficient","
 incorrect threaded tree", a,DS
 Who developed the concept of tango tree?,"
 Erik Demaine","
 Mihai Patrascu","
 John Lacono","
 All of the mentioned", d,DS
 Which type of tree is tango tree?,"
 Ternary Tree","
 AVL Tree","
 Binary Search Tree","
 K-ary Tree", c,DS
 After which city is tango tree named?,"
 Vatican City","
 Buenos Aires","
 New York","
 California", b,DS
 Which type of binary search tree or algorithm does tango tree use?,"
 Online","
 Offline","
 Static","
 Dynamic", d,DS
 What is the time complexity of for achieving competitive ratio by tango tree?,"
 O (log n)","
 O (n",),"
 O (n!)", d,DS
"
", Which type of binary search tree is imitated for construction of tango tree?,"
 Complete Binary Search Tree","
 Perfect Binary Search Tree","
 Balanced Binary Search Tree", a,DS
"
", Which special balanced binary search tree is used to store the nodes of auxiliary tree?,"
 Red – Black Tree","
 Red – Brown Tree","
 Red – Yellow Tree", a,DS
"
", Is tango tree represented as a tree of trees.,"
 True","
 False","
", a,DS
"
 Join","
 Combinatorial","
 Add","
 Concatenation","
", a,DS
"
 True","
 False","
",1 Which operation is used to break a preferred path into two sets of parts at a particular node?,"
 Differentiate", a,DS
"
 Integrate","
 Join","
",1 What is the upper bound for a tango tree if k is a number of interleaves?,"
 k+2 O (log (log n))", b,DS
"
 K", O (log n),"
 k+1 O (log (log n))","
",1 What is the time complexity for searching k+1 auxiliary trees?, d,DS
"
 k+1 O (log n)","
 K+2 O (log n)","
 k+1 O (log (log n))","
",1 What is the time complexity for the update cost on auxiliary trees?, d,DS
"
 k-1 O (log n)","
 K", O (log n),"
 k+1 O (log (log n))","
", d,DS
 Which of the following is also known as Rope data structure?,"
 Cord","
 String","
 Array","
 Linked List", a,DS
 Which type of data structure does rope represent?,"
 Array","
 Linked List","
 Queue","
 Binary Tree", d,DS
 What is the time complexity for finding the node at x position where n is the length of the rope?,"
 O (log n)","
 O (n!)","
 O (n",), a,DS
"
", What is the time complexity for creating a new node and then performing concatenation in the rope data structure?,"
 O (log n)","
 O (n!)","
 O (n", d,DS
"
 O (1)","
", What is the time complexity for splitting the string into two new string in the rope data structure?,"
 O (n",), c,DS
"
 O (log n)","
 O (1)","
", Which type of binary tree does rope require to perform basic operations?,"
 Unbalanced", b,DS
"
 Complete","
 Full","
", What is the time complexity for inserting the string and forming a new string in the rope data structure?,"
 O (log n)", a,DS
"
 O (n",),"
 O (1)","
", Is insertion and deletion operation faster in rope than an array?, a,DS
"
 False","
", What is the time complexity for deleting the string to form a new string in the rope data structure?,"
 O (n",), c,DS
"
 O (log n)","
 O (1)","
", Is it possible to perform a split operation on a string in the rope if the split point is in the middle of the string.,"
 True", a,DS
 Which of the following is the most widely used external memory data structure?,"
 AVL tree","
 B-tree","
 Red-black tree","
 Both AVL tree and Red-black tree", b,DS
 B-tree of order n is a order-n multiway tree in which each non-root node contains __________,"
 at most (n – 1)/2 keys","
 exact (n – 1)/2 keys","
 at least 2n keys","
 at least (n – 1)/2 keys", d,DS
 A B-tree of order 4 and of height 3 will have a maximum of _______ keys.,"
 255","
 63","
 127","
 188", a,DS
 Five node splitting operations occurred when an entry is inserted into a B-tree. Then how many nodes are written?,"
 14","
 7","
 11","
 5", c,DS
 B-tree and AVL tree have the same worst case time complexity for insertion and deletion.,"
 True","
 False","
", 2-3-4 trees are B-trees of order  They are an isometric of _____ trees., a,DS
"
 AA","
 2-3","
 Red-Black","
", Figure shown below is B-tree of order  What is the result of deleting 130 from the tree?, d,DS
"
","
","
 ","
","
", c,DS
"
 logn (k+1) – 1","
 nk","
 log", (n+1) – 1,"
 klog", a,DS
 Compression techniques can be used on the keys to reduce both space and time requirements in a B-tree.,"
 True","
 False","
", Which of the following is true?, a,DS
" In a B+ tree, both the internal nodes and the leaves have keys.","
 True","
 False","
", Which of the following is true?, b,DS
"
 B + tree allows only the rapid sequential access","
 B + tree allows rapid random access as well as rapid sequential access","
 B + tree allows rapid random access and slower sequential access","
", A B+ tree can contain a maximum of 7 pointers in a node. What is the minimum number of keys in leaves?, c,DS
"
 3","
 4","
 7","
", Which of the following is false?, b,DS
"
 A B+ -tree is balanced","
 In a B+ -tree, the sibling pointers allow sequential searching","
 B+ -tree is shallower than B-tree","
"," A B+ -tree of order 3 is generated by inserting 89, 9 and  The generated B+ -tree is __________", a,DS
"
	","
","
","
"," Statement 1: When a node is split during insertion, the middle key is promoted to the parent as well as retained in right half-node.", b,DS
"
 Statement 1 is true but statement 2 is false","
 Statement 2 is true but statement 1 is false","
 Both the statements are true","
 Both the statements are false","
", a,DS
"
 O(n)","
 O(log n)","
 O(nlog n)","
 O(1)","
", d,DS
"
 3","
 80","
 27","
 26","
", d,DS
"
 Compared to B-tree, B+ -tree has larger fanout","
 Deletion in B-tree is more complicated than in B+ -tree","
 B+ -tree has greater depth than corresponding B-tree","
 Both B-tree and B+ -tree have same search and insertion efficiencies","
", c,DS
 2-3 tree is a specific form of _________,"
 B – tree","
 B+ – tree","
 AVL tree","
 Heap", a,DS
 Which of the following is the 2-3 tree?,"
","
","
","
", c,DS
 The height of 2-3 tree with n elements is ______,"
 between (n/2) and (n/3)","
 (n/6)","
 between (n) and log2(n + 1)","
 between log3(n + 1) and log2(n + 1)", d,DS
 Which of the following the BST is isometric with the 2-3 tree?,"
 Splay tree","
 AA tree","
 Heap","
 Red – Black tree", b,DS
 The figure shown below is a 2-3 tree. What is the result of deleting 110 from the tree?,"
","
","
","
", c,DS
"
", Which of the following data structure can provide efficient searching of the elements?,"
 unordered lists","
 binary search tree","
 treap", d,DS
"
", LLRB maintains 1-1 correspondence with 2–3 trees.,"
 True","
 False","
", a,DS
"
 all leaves are at the same level","
 it is perfectly balanced","
 postorder traversal yields elements in sorted order","
 it is B-tree of order 3","
", c,DS
"
 True","
 False","
", Which of the following is false?,"
 2-3 tree requires less storage than the BST", b,DS
 How many child nodes does each node of Ternary Tree contain?,"
 4","
 6","
 5","
 3", d,DS
 Which of the following is the name of the node having child nodes?,"
 Brother","
 Sister","
 Mother","
 Parent", d,DS
 What is the depth of the root node of the ternary tree?,"
 2","
 1","
 0","
 3", c,DS
 What is the Height of the root node of ternary tree?,"
 1","
 2","
 3","
 0", d,DS
 Which node is the root node of the following ternary tree?,"
 ","
 A","
 B","
 C", a,DS
"
", Which node is the Leaf node in the following ternary tree?,"
 ","
 A","
 B", d,DS
"
 G","
", Which node is the parent node of Node 6?,"
","
 1", c,DS
"
 2","
 3","
",  Is parent node of Node 3 and root node of the given ternary tree same?,"
 ", a,DS
"
 False","
", Which node is the child node of Node D in the following ternary tree?,"
  ","
 A", d,DS
"
 G","
 H","
", Which node is the child node of the Node D in the following ternary tree?,"
  ", d,DS
"
 C","
 B","
 No child node","
",1 What is the depth of Node G in the given ternary tree?, c,DS
"
 0","
 1","
 2","
 3","
", c,DS
"
 ","
 0","
 1","
 2","
 3", d,DS
 How many extra nodes are there in Full ternary tree than a complete ternary tree?,"
 1","
 2","
 3","
 Both have same number of nodes", d,DS
 Is Node A sibling of Node D in the given ternary tree?,"
","
 True","
 False","
", b,DS
"
 ","
 3","
 2","
 6","
 4", c,DS
 Who is the ancestor of Node G?,"
","
 C","
 F","
 H", a,DS
"
", Who is descendant of Node B?,"
","
 A","
 E", d,DS
"
 Both E and F","
", What is the size of Node A?,"
","
 1", d,DS
"
 3","
 4","
", Can leaf node be called child node in a ternary tree?,"
 True", a,DS
"
", Can child node be always called Leaf node in the ternary tree?,"
 True","
 False","
", b,DS
 How many child nodes does each node of K-ary Tree contain?,"
 2","
 3","
 more than k","
 at most k", d,DS
 Which of the following is the name of the node having child nodes?,"
 Brother","
 Sister","
 Mother","
 Parent", d,DS
 What is the depth of the root node of K-ary tree?,"
 2","
 1","
 0","
 3", c,DS
 What is the Height of the root node of K-ary tree?,"
 1","
 2","
 3","
 0", d,DS
 Which node is the root node of the following K-ary tree?,"
 ","
 A","
 B","
 C", a,DS
"
", Which node is the Leaf node in the following K-ary tree?,"
","
 A","
 B", d,DS
"
 F","
", Which node is the parent node of Node 5?,"
 ","
 1", c,DS
"
 2","
 3","
",  Is parent node of Node 4 and root node of the given K-ary tree same?,"
  ", a,DS
"
 False","
", Which node is the child node of Node C in the following K-ary tree?,"
 ","
 A", c,DS
"
 G","
 H","
", Which node is the child node of the Node B in the following K-ary tree?,"
", d,DS
"
 C","
 B","
 No child node","
",1 What is the depth of Node F in the given K-ary tree?, c,DS
"
 0","
 1","
 2","
 3","
", c,DS
 What is the size of the given K-ary tree?,"
","
 3","
 2","
 6", c,DS
"
", Who is the ancestor of Node H?,"
","
 D","
 F", a,DS
"
 A","
", Who is descendant of Node C?,"
","
 A", d,DS
"
 D","
 G","
", What is the size of Node B in given K-ary tree?,"
", a,DS
"
 2","
 3","
 4","
", Can leaf node be called child node in a K-ary tree?, a,DS
"
 false","
", Can child node be always called Leaf node in the K-ary tree?,"
 True","
 False", b,DS
 What is the upper bound for maximum leaves in K-ary tree with height h?,"
 K*h","
 K^h","
 K+h","
 K-h", b,DS
 What is the height of a K-ary tree having only root node?,"
 1","
 0","
 2","
 3", b,DS
 Which one of the following is the correct formulae to find the parent node at index I?,"
 (I-1)/K","
 (I+1)/K","
 (I*1)/K","
 (I-2)/K", a,DS
 Which nodes are the siblings of Node D of given ternary tree?,"
","
 E","
 C","
 F", d,DS
"
",1 How many extra nodes are there in Full K-ary tree than complete K-ary tree?,"
 1","
 2","
 3", d,DS
"
",1 Is Node A sibling of Node B in the given K-ary tree?,"
","
 True","
 False", b,DS
 What is the other name or Van Emde Boas Tree data structure?,"
 Van Emde Boas Array","
 Van Emde Boas Stack","
 Van Emde Boas Priority Queue","
 Van Emde Boas Heap", c,DS
 Who Invented The vEB also known as Van Emde Boas Tree?,"
 Peter Van Emde Boas","
 Samuel F. B. Morse","
 Friedrich Clemens Gerke","
 Alexander Morse", d,DS
 What is the time complexity for storing the maximum number of elements in Van Emde Boas tree if M is the maximum number of elements?,"
 O (log M)","
 O (M!)","
 O (M)","
 O (1)", c,DS
 Does Van Emde Boas data structure perform all operation in O (log (log M)) time where M = 2,.,"
 True","
 False","
", a,DS
"
 O (log M!)","
 O (M!)","
 O (M",),"
 O (log (log M))", d,DS
 Which type of tree does Van Emde Boas require to perform basic operations?,"
 Unbalanced","
 Balanced","
 Complete","
 Non – Binary", d,DS
 What is the time complexity for inserting a key or integer in Van Emde Boas data structure?,"
 O (log M!)","
 O (M!)","
 O (M",), a,DS
"
", In which year was Van Emde Boas tree invented?,"
 1972","
 1973","
 1974", d,DS
"
", What is the time complexity for deleting a key or integer in Van Emde Boas data structure?,"
 O (log M!)","
 O (log (log M))","
 O (M!)", b,DS
),"
", Can operation like Find Next and Find Previous be implemented.,"
 True","
 False", a,DS
1 What is the time complexity for finding a maximum and minimum integer in Van Emde Boas data structure?,"
 O (log M!)","
 O (M!)","
 O (1)","
 O (log (log M))", c,DS
1 On which abstract data type does van Emde Boas tree performs the operation?,"
 Tree","
 Linked List","
 Heap","
 Associative Array", d,DS
1 Which operation find the value associated with a given key?,"
 Insert","
 Find Next","
 Look up","
 Delete", b,DS
 How many properties will an equivalent relationship satisfy?,"
 1","
 2","
 3","
 4", c,DS
" A relation R on a set S, defined as x R y if and only if y R x. This is an example of?","
 reflexive relation","
 symmetric relation","
 transitive relation","
 invalid relation", b,DS
 Electrical connectivity is an example of equivalence relation.,"
 true","
 false","
", What is the worst case efficiency for a path compression algorithm?, a,DS
"
 O(log N)","
 O(N log N)","
 O(M log N)","
", Path Compression algorithm performs in which of the following operations?, d,DS
"
 Insert operation","
 Find operation","
 Delete operation","
", What is the definition for Ackermann’s function?, c,DS
"
 A(i,j) = i+j for i>=j","
 A(i,j) = i+j for i = j","
 A(1,i) = i+1 for i<1","
"," ___________ is one of the earliest forms of a self-adjustment strategy used in splay trees, skew heaps.", a,DS
"
 Equivalence function","
 Dynamic function","
 Path compression","
", What is the depth of any tree if the union operation is performed by height?, d,DS
"
 O(log N)","
 O(N log N)","
 O(M log N)","
"," When executing a sequence of Unions, a node of rank r must have at least 2", b,DS
"
 true","
 false","
", What is the value for the number of nodes of rank r?,"
 N", a,DS
"
 N/2","
 N","
",1 What is the worst-case running time of unions done by size and path compression?,"
 O(N)", c,DS
"
 O(N logN)","
 O(M logN)","
","1 In the Union/Find algorithm, the ranks of the nodes on a path will increase monotonically from?","
 leaf to root", d,DS
"
 root to leaf","
 left subtree to right subtree","
",1 How many strategies are followed to solve a dynamic equivalence problem?,"
 1", a,DS
"
 3","
 4","
",1 What is the total time spent for N-1 merges in a dynamic equivalence problem?,"
 O(N)", b,DS
"
 O(N log N)","
 O(M log N)","
",1 What is the condition for an equivalence relation if two cities are related within a country?,"
 the two cities should have a one-way connection", c,DS
 What is the use of the bin data structure?,"
 to have efficient insertion","
 to have efficient deletion","
 to have efficient region query","
 to have efficient traversal", c,DS
 Bin is an example of a range query data structure.,"
 true","
 false","
", What is the worst case time complexity of query operation(n is the no. of candidates)?, a,DS
"
 O(n)","
 O(log n)","
 O(n log n)","
", What is the worst case time complexity of delete operation(n is the no. of candidates)?, b,DS
"
 O(n)","
 O(log n)","
 O(n log n)","
", What is the worst case time complexity of insertion operation(n =no. of candidates)?, b,DS
"
 O(n)","
 O(log n)","
 O(n log n)","
", What is computational geometry?, a,DS
"
 study of geometry","
 study of algorithms","
 study of algorithms related to geometry","
", What will be the time complexity of query operation if all the candidates are evenly spaced so that each bin has constant no. of candidates? (k = number of bins query rectangle intersects), d,DS
"
 O(k)","
 O(k",),"
 O(log k)","
", b,DS
"
 O(1)","
 O(m)","
 O(m",),"
 O(log m)", b,DS
 What will be the time complexity of insertion operation if all the candidates are evenly spaced so that each bin has constant no. of candidates? (m = number of bins intersecting candidate intersects),"
 O(1)","
 O(m)","
 O(m",), b,DS
"
", Efficiency of bin depends upon ___________,"
 size of query and candidates","
 location of query and candidates","
 location and size of query and candidates", c,DS
 In what time can a 2-d tree be constructed?,"
 O(N)","
 O(N log N)","
 O(N",), b,DS
"
", Insertion into a 2-d tree is a trivial extension of insertion into a binary search tree.,"
 true","
 false","
", a,DS
"
 even","
 odd","
 depends on subtrees","
 1","
", b,DS
"
 Heaps","
 binary search trees","
 AA-trees","
 K-d trees","
", d,DS
"
 number of dimensions","
 size of tree","
 length of node","
 weight of node","
", a,DS
"
","
 (30,40),(5,25),(70,70),(10,12),(50,30),(35,45)","
 (40,30),(5,25),(12,10),(70,70),(30,50),(45,35)","
 (30,40),(5,25),(10,12),(70,70),(50,30),(35,45)","
 (40,30),(25,5),(12,10),(70,70),(50,30),(45,35)", c,DS
 Each level in a k-d tree is made of?,"
 dimension only","
 cutting and dimension","
 color code of node","
 size of the level", b,DS
 What is the worst case of finding the nearest neighbour?,"
 O(N)","
 O(N log N)","
 O( log N)","
 O(N", a,DS
